,lat,lon,date,speed,double_cross,time_in_range,cluster_proximity,searching
408,-0.013828114690205002,0.039967990863837004,408,3.214064283175241,0,14,0,1
409,-0.013864560624220002,0.039992326203979,409,4.146599691117021,0,15,0,1
410,-0.013899835741476001,0.04001587986464,410,4.523237916121778,0,16,0,1
411,-0.013959676051754001,0.040039946515125005,411,4.536745554391569,0,17,0,1
412,-0.013993075928596001,0.040054770440356005,412,3.837336884305264,0,18,0,1
413,-0.013993075928596001,0.040054770440356005,412,3.837336884305264,0,0,0,1
414,-0.014017947739723001,0.04006962828549,413,3.106474209987692,0,1,0,1
415,-0.014043398410144,0.040085642896160005,414,3.060721779336048,0,2,0,1
416,-0.014068518611303002,0.040102252958293005,415,3.091062390625127,0,3,0,1
417,-0.014098371026470002,0.040122026993030004,416,3.619108909196265,0,4,0,1
418,-0.014136787695846002,0.040147783070684,417,4.738594324500024,0,5,0,1
419,-0.014175821415278001,0.040174416328344,418,4.893901226996558,0,6,0,1
420,-0.014215863730335001,0.040201814118674004,419,4.678194990268246,0,7,0,1
421,-0.014250891642241002,0.040225670379083006,420,4.389528917430972,0,8,0,1
422,-0.014284717709074001,0.04024843677322,421,4.115884985928083,0,9,0,1
423,-0.014315283769832002,0.040268995387137005,422,3.66159078201209,0,10,0,1
424,-0.014330374148812,0.040279146780878,423,2.5894519381309973,0,11,0,1
425,-0.014341884309949001,0.040286920167030005,425,0.0,0,12,0,1
426,-0.014352004951653001,0.040294361266866,426,0.0,0,13,0,1
427,-0.014352004951653001,0.040294361266866,427,0.0,0,14,0,1
428,-0.014352004951653001,0.040294361266866,427,0.0,0,0,0,1
429,-0.01435937302174,0.040304694563106,429,0.0,0,1,0,1
430,-0.01435937302174,0.040304694563106,432,0.0,0,2,0,1
431,-0.014362874611542,0.040319657935427,433,0.0,0,3,0,1
432,-0.014369446031288001,0.040330381836586,437,0.0,0,4,0,1
433,-0.014369446031288001,0.040330381836586,437,0.0,0,5,0,1
434,-0.014375175493320002,0.040340740149794004,441,0.0,0,6,0,1
435,-0.014375175493320002,0.040340740149794004,443,0.0,0,7,0,1
436,-0.014371641349512002,0.040355527623104,444,0.0,0,8,0,1
437,-0.014378540320763002,0.040335516048624,445,0.0,0,9,0,1
438,-0.014378540320763002,0.040335516048624,447,0.0,0,10,0,1
439,-0.014378540320763002,0.040335516048624,453,0.0,0,11,0,1
440,-0.014370020969437002,0.040329827576899006,455,0.0,0,12,0,1
441,-0.014370020969437002,0.040329827576899006,457,0.0,0,13,0,1
442,-0.014370020969437002,0.040329827576899006,462,0.0,0,14,0,1
443,-0.014421809216358002,0.04034594934822101,465,2.924421223571464,0,15,0,1
444,-0.014447348433613002,0.040358966350563005,466,3.098690189878457,0,16,0,1
445,-0.014474408893711,0.04037526010642,467,3.409144631989614,0,17,0,1
446,-0.014505597838684001,0.040395348920554006,468,3.823160301731456,0,18,0,1
447,-0.014542807307137001,0.040419906627764006,469,4.473252078634829,0,19,0,1
448,-0.014580464858418001,0.040445560426444004,470,4.70631795756325,0,20,0,1
449,-0.014620028736523,0.040472040162125,471,4.4877597066244554,0,21,0,1
450,-0.014660452809735,0.040499065678895003,472,4.761319453109633,0,22,0,1
451,-0.014706694246413,0.040529979074007,473,5.1754761503131395,0,23,0,1
452,-0.014753791191438001,0.040561628648205006,474,5.470105384830173,0,24,0,1
453,-0.014800683355176002,0.040594755261013006,475,5.745370291219656,0,25,0,1
454,-0.014835954086493,0.04064861886424,476,5.926726831990327,0,26,0,1
455,-0.014875404700248002,0.040687091015112004,477,5.735904206510588,0,27,0,1
456,-0.014875404700248002,0.040687091015112004,477,5.735904206510588,0,0,0,1
457,-0.014915509512455,0.04072620107336,478,5.591862078460084,0,1,0,1
458,-0.014955315631702002,0.040765019882206,479,5.661160234726652,0,2,0,1
459,-0.014994752884092001,0.040803478980016,480,5.525588659143541,0,3,0,1
460,-0.015033204526197,0.040840976919254,481,5.542203647713304,0,4,0,1
461,-0.015070823176856001,0.040877662473883004,482,5.400118584845377,0,5,0,1
462,-0.015100286419148002,0.040906009663986005,483,5.174826375616283,0,6,0,1
463,-0.015125953063368001,0.040943460788195,484,4.6095056724676144,0,7,0,1
464,-0.015156929295017002,0.040976025092060005,485,4.443794122369194,0,8,0,1
465,-0.015185051424680001,0.041004650897223,486,4.179281121397003,0,9,0,1
466,-0.015207954473233,0.041027370998705,487,3.67204267438364,0,10,0,1
467,-0.015233813701605,0.041051580182488,488,3.218894203130633,0,11,0,1
468,-0.015273399882417,0.041090156961026005,489,3.920103249179441,0,12,0,1
469,-0.015313715852798001,0.041127865854091006,490,4.671107768105875,0,13,0,1
470,-0.015349964798176002,0.041168399064131,491,4.8286040360305105,0,14,0,1
471,-0.015393654756501,0.04120938457855,492,5.11656984317564,0,15,0,1
472,-0.015393654756501,0.04120938457855,492,5.11656984317564,0,0,0,1
473,-0.015440994605917002,0.041252208166612,493,5.400303336915122,0,1,0,1
474,-0.015489662793548001,0.041299993835046005,494,5.673664745798802,0,2,0,1
475,-0.015532365681892,0.041341090551588,495,5.4772811011105595,0,3,0,1
476,-0.015571285056964002,0.041377692868037004,496,5.077514954414819,0,4,0,1
477,-0.015605744345151001,0.041406669387676,497,4.542905413213516,0,5,0,1
478,-0.015637421722217,0.041437437304363,498,4.820912627642867,0,6,0,1
479,-0.015677289138594,0.041472538267477,499,5.021044786983158,0,7,0,1
480,-0.015723899457988,0.041514932990311004,500,5.235524037213165,0,8,0,1
481,-0.015768019242393003,0.041555807373759,501,5.273396572328993,0,9,0,1
482,-0.015815232134336003,0.041600637821133005,502,5.496949943045807,0,10,0,1
483,-0.01586284409673,0.041645432851602,503,5.564390789076333,0,11,0,1
484,-0.015912244993856,0.041692885254612004,504,5.547921497516013,0,12,0,1
485,-0.015952167784227003,0.041731327363043004,505,4.853405524564983,0,13,0,1
486,-0.015981228570296,0.041766125405402005,506,4.019541231823632,0,14,0,1
487,-0.015999965989308,0.041805539608509,507,3.502351945256725,0,15,0,1
488,-0.015999965989308,0.041805539608509,507,3.502351945256725,0,0,0,1
489,-0.015999965989308,0.041805539608509,507,3.502351945256725,0,1,0,1
490,-0.015999965989308,0.041805539608509,507,3.502351945256725,0,0,0,1
491,-0.016019343544883,0.041809453037652,508,3.264294530730297,0,1,0,1
492,-0.016021541062571,0.041822565286540006,509,3.5396762093406258,0,2,0,1
