,lat,lon,date,speed,double_cross,time_in_range,cluster_proximity,searching
0,0.0,0.0,0,0.137402445077896,0,0,0,0
1,-1.7099314057134052e-05,4.1372928057725744e-05,1,0.041641518473625,0,0,0,0
2,-5.455782881114147e-05,4.155350557155658e-05,2,0.060077361762523006,0,0,0,0
3,-5.1508283007706275e-05,3.124321978908995e-05,3,0.12665858864784202,0,0,0,0
4,-5.5134936403078434e-05,5.533991522810311e-06,4,0.12665858864784202,0,0,0,0
5,-6.292519501016615e-05,-1.3050297329897372e-05,5,0.840741753578186,0,0,0,0
6,-8.248775394292807e-05,-1.7974853063762453e-05,6,1.604310750961303,0,0,0,0
7,-0.00011306530406300001,-1.692858708324252e-05,7,1.604310750961303,0,0,0,0
8,-0.000133146206472,-1.053535807926664e-06,8,2.607614278793335,0,0,0,0
9,-0.000146568559394,4.02465778339689e-05,9,2.607614278793335,0,0,0,0
10,-0.00016305363852300002,6.163105722833961e-05,10,1.796728014945983,0,0,0,0
11,-0.000180070871955,7.695111530203746e-05,11,1.796728014945983,0,0,0,0
12,-0.000198587771116,8.466070679169492e-05,12,1.796728014945983,0,0,0,0
13,-0.000211580570237,9.755829188407007e-05,13,1.796728014945912,0,0,0,0
14,-0.000236045855722,0.00012124256705000002,14,2.311322212219086,0,0,0,0
15,-0.000265770569377,0.000149366973667,15,2.786242723464699,0,0,0,0
16,-0.000303384700877,0.00018505692300500003,16,3.818189382552416,0,0,0,0
17,-0.000329139355393,0.000218163695267,17,3.818189382552416,0,0,0,0
18,-0.000335023048187,0.000262903666506,18,3.746628761290858,0,0,0,0
19,-0.000324621742954,0.000307370562049,19,3.6932079792016532,0,0,0,0
20,-0.00029556116398,0.00035979489162900005,20,3.693207979201652,0,0,0,0
21,-0.0002524695848,0.00045100599841200003,21,6.419649124142259,0,0,0,0
22,-0.000209134880613,0.000516210266804,22,6.8551898002584934,0,0,0,0
23,-0.000147663097408,0.000564662988535,23,6.855189800258496,0,0,0,0
24,-0.000104674718272,0.000646225916071,24,7.469796657557141,0,0,0,0
25,-5.9797157099694693e-05,0.000731373240814,25,7.6856741905156625,0,0,0,0
26,-7.5363831086860955e-06,0.000830528916935,26,8.672839164725874,0,0,0,0
27,4.002170459926901e-05,0.000920762072336,27,8.744554519645106,0,0,0,0
28,8.564380382125593e-05,0.0010073220234060002,28,8.672839164725872,0,0,0,0
29,0.00012858285233300002,0.00108879136005,29,8.420928001396474,0,0,0,0
30,0.00016877825103000003,0.001165055100708,30,8.099740982049134,0,0,0,0
31,0.000196784279665,0.0012181916439990002,31,6.388963222500458,0,0,0,0
32,0.00022733770245500002,0.0012761614146150002,32,6.388963222500458,0,0,0,0
33,0.00024620033635600004,0.0012940413648150002,33,3.9162337588275973,0,0,0,0
34,0.000264636367568,0.0013264078893170002,34,3.494520054797497,0,0,0,0
35,0.000279174513536,0.001338921184704,35,2.676783848707187,0,0,0,0
36,0.00030138141237700004,0.001344522501847,36,2.5607407655330228,0,0,0,0
37,0.00028806710596900005,0.001343346805045,37,2.192345454484336,0,0,0,0
38,0.00035519825043100003,0.001270535470714,38,3.552453944488562,0,0,0,0
39,0.00041670537360900004,0.0012139563337550002,39,6.7358560736314494,0,0,0,0
40,0.00047397848709300006,0.001159703870014,40,8.273992761690659,0,0,0,0
41,0.000526001255558,0.0010910991025930002,41,8.836132691415402,0,0,0,0
42,0.000584314272543,0.001038526941876,42,8.88893092335236,0,0,0,0
43,0.000635260147582,0.000992596629826,43,7.903212247201752,0,0,0,0
44,0.0006816179601320001,0.0009508026958380001,44,6.608998018685986,0,0,0,0
45,0.0007301936117370001,0.0009070092620570001,45,5.8792274347840054,0,0,0,0
46,0.000787260666058,0.0008555603949190001,46,6.225018021359778,0,0,0,0
47,0.0008448832070860001,0.00080361072891,47,6.695466077049521,0,0,0,0
