,lat,lon,date,speed,double_cross,time_in_range,cluster_proximity,searching
0,0.0,0.0,0,7.228293889052765,0,0,0.17903388262167802,0
1,0.0,0.0,0,7.228293889052765,0,0,0.17903388262167802,0
2,-6.593843688307288e-05,-2.3017038611072852e-05,1,7.617467960299782,0,1,0.17907675614128502,0
3,-0.00013327627495800002,-4.6287715301573946e-05,2,7.824211151811911,0,2,0.179192202550174,0
4,-0.00020385628350500003,-4.847636198057615e-05,3,7.947657759782779,0,3,0.17926229324484103,0
5,-0.00027861081188200004,-4.93610572736003e-05,4,8.16850514664097,0,4,0.179385940710794,0
6,-0.00035083328685900003,-4.448173087467922e-05,5,8.334041243808745,0,5,0.179522039829825,0
7,-0.00043116913722200006,-3.550179071609705e-05,6,8.614200433509744,0,6,0.179702121773612,0
8,-0.0005121429433,-2.3410571774462593e-05,7,8.900221811163032,0,7,0.17991242310155803,0
9,-0.000593423236651,-7.998618555049575e-06,8,9.093256107169127,0,8,0.18014601701235602,0
10,-0.0006738152741190001,7.629769518402439e-06,9,9.203340802877262,0,9,0.18041300961155302,0
11,-0.0007565801507140001,2.7427066179086527e-05,10,9.316599110108617,0,10,0.180700501524687,0
12,-0.0007565801507140001,2.7427066179086527e-05,10,9.316599110108617,0,0,0.180700501524687,0
13,-0.00082910877294,4.471258595017958e-05,11,9.518385609215652,0,1,0.18098085411116202,0
14,-0.0008820551134780001,5.9692477819339736e-05,12,9.730178189723512,0,2,0.181185192955944,0
15,-0.00099920826409,9.600309621582427e-05,13,9.838676425826296,0,3,0.181657966154281,0
16,-0.001086067385323,0.000123206992402,14,10.03864508730411,0,4,0.18204088463783402,0
17,-0.001174730342427,0.00015096926745300002,15,10.075695056317146,0,5,0.18245938234925901,0
18,-0.001259773026085,0.000175240047894,16,10.098931216209394,0,6,0.182901889524429,0
19,-0.001351737641137,0.00020148631488200002,17,10.176050277300305,0,7,0.18340546996515603,0
20,-0.001441911420485,0.00022722148581300002,18,10.149528809778245,0,8,0.183922480933564,0
21,-0.001528669756844,0.00025198190543700003,19,9.97163709542077,0,9,0.18443979802659402,0
22,-0.001617777239523,0.00027608335877100004,20,10.094125190942952,0,10,0.184999846663729,0
23,-0.001617777239523,0.00027608335877100004,20,10.094125190942952,0,0,0.184999846663729,0
24,-0.0017089079011540001,0.00029903657819800003,21,9.958432784756647,0,1,0.18560383981109102,0
25,-0.001795252494829,0.00031199519982100005,22,9.79033326555157,0,2,0.18626153597943101,0
26,-0.001883711905577,0.00031684519562100004,23,9.811233612092504,0,3,0.18702049692209602,0
27,-0.0019749752076300003,0.00031992217811000005,24,9.90309183706997,0,4,0.187838907421903,0
28,-0.0020639108690040002,0.000322920683167,25,9.882560877510022,0,5,0.18865495822969502,0
29,-0.0020639108690040002,0.000322920683167,25,9.882560877510022,0,6,0.18865495822969502,0
30,-0.0020639108690040002,0.000322920683167,25,9.882560877510022,0,0,0.18865495822969502,0
31,-0.0021567005808900003,0.00032639107353,26,9.828321050058186,0,1,0.189521717199736,0
32,-0.002246947135098,0.000327777586818,27,9.834060327627446,0,2,0.19039900708203902,0
33,-0.0023362505613980004,0.000327473797282,28,9.741725673689956,0,3,0.191298221416544,0
34,-0.0024249484323200002,0.00032717206770400004,29,9.742514681488476,0,4,0.192206666720377,0
35,-0.002521802004359,0.00032684259432400005,30,9.990314378226,0,5,0.193214905314039,0
36,-0.002612726727235,0.00032714132699400005,31,9.861226121765537,0,6,0.19416976251817902,0
37,-0.002709812937453,0.000329496322166,32,9.887441148266934,0,7,0.195182478887679,0
38,-0.002797248049311,0.000331617213134,33,9.462509549934422,0,8,0.196104431578965,0
39,-0.0028794956095050004,0.00033380468580700005,34,8.976870236408812,0,9,0.19697717452037503,0
40,-0.0029578083197910002,0.000336930767339,35,8.505812388370826,0,10,0.197802718591767,0
41,-0.0029578083197910002,0.000336930767339,35,8.505812388370826,0,0,0.197802718591767,0
42,-0.003038794326847,0.00034016356135200003,36,8.231583036179517,0,1,0.19866092632106103,0
43,-0.0030649788404270004,0.000341208793013,37,8.210712060569131,0,2,0.198939216373323,0
44,-0.0032258550394380003,0.00035522297557100005,38,8.42428279611463,0,3,0.20056752051932702,0
45,-0.0032554475941770004,0.00038191975955100004,39,8.86205835662614,0,4,0.200587562685406,0
46,-0.003325215689415,0.00048673285666600005,40,9.5340935216018,0,5,0.20014144924798902,0
47,-0.0033869263348900005,0.00057665692532,41,9.742075100739417,0,6,0.199768735768202,0
48,-0.0034492370438170003,0.0006599658049420001,42,9.463898078721588,0,7,0.199468718643205,0
49,-0.003508856987942,0.0007359149353200001,43,8.874317273580038,0,8,0.199216000712811,0
50,-0.0035345363516580005,0.0007621323586210001,44,8.536614916275262,0,9,0.199177936099726,0
51,-0.0036072316308870004,0.0008092158699300001,45,8.244620672672335,0,10,0.19936775408364302,0
52,-0.0036072316308870004,0.0008092158699300001,45,8.244620672672335,0,0,0.19936775408364302,0
53,-0.0036637832225280003,0.000822666055107,46,7.944001433347935,0,1,0.199771001541203,0
54,-0.0037663639626540004,0.0008281779093010001,47,7.92156057868246,0,2,0.200710865038656,0
55,-0.0038395416469390003,0.0008281969969940001,48,8.169566728725194,0,3,0.201422934321238,0
56,-0.003920107356428,0.0008156815794830001,49,8.780633535975232,0,4,0.20235425693914402,0
57,-0.004019257660985,0.00079602311607,50,9.174915063496506,0,5,0.20355403502239403,0
58,-0.004019257660985,0.00079602311607,50,9.174915063496506,0,6,0.20355403502239403,0
59,-0.004019257660985,0.00079602311607,50,9.174915063496506,0,0,0.20355403502239403,0
